""
"('FeLip9', 'PET', 1, 7, 3, 3)"
"('FeLip9', 'PET', 1, 7, 4, 4)"
"('FeLip9', 'PET', 1, 7, 5, 33)"
"('FeLip9', 'PET', 1, 7, 6, 34)"
"('FeLip9', 'PET', 1, 7, 7, 37)"
"('FeLip9', 'PET', 1, 7, 8, 42)"
"('FeLip9', 'PET', 1, 7, 9, 45)"
"('FeLip9', 'PET', 1, 7, 10, 50)"
"('FeLip9', 'PET', 1, 7, 11, 56)"
"('FeLip9', 'PET', 1, 7, 12, 64)"
"('FeLip9', 'PET', 1, 7, 13, 80)"
"('FeLip9', 'PET', 1, 7, 14, 83)"
"('FeLip9', 'PET', 1, 7, 15, 91)"
"('FeLip9', 'PET', 1, 7, 16, 93)"
"('FeLip9', 'PET', 1, 7, 17, 99)"
"('FeLip9', 'PET', 1, 8, 0, 0)"
"('FeLip9', 'PET', 1, 8, 1, 1)"
"('FeLip9', 'PET', 1, 8, 2, 3)"
"('FeLip9', 'PET', 1, 8, 3, 17)"
"('FeLip9', 'PET', 1, 8, 4, 22)"
"('FeLip9', 'PET', 1, 8, 5, 33)"
"('FeLip9', 'PET', 1, 8, 6, 35)"
"('FeLip9', 'PET', 1, 8, 7, 49)"
"('FeLip9', 'PET', 1, 8, 8, 51)"
"('FeLip9', 'PET', 1, 8, 9, 66)"
"('FeLip9', 'PET', 1, 8, 10, 67)"
"('FeLip9', 'PET', 1, 8, 11, 88)"
"('FeLip9', 'PET', 1, 8, 12, 91)"
"('FeLip9', 'PET', 1, 9, 0, 0)"
"('FeLip9', 'PET', 1, 9, 1, 1)"
"('FeLip9', 'PET', 1, 9, 2, 2)"
"('FeLip9', 'PET', 1, 9, 3, 3)"
"('FeLip9', 'PET', 1, 9, 4, 6)"
"('FeLip9', 'PET', 1, 9, 5, 11)"
"('FeLip9', 'PET', 1, 9, 6, 19)"
"('FeLip9', 'PET', 1, 9, 7, 24)"
"('FeLip9', 'PET', 1, 9, 8, 26)"
"('FeLip9', 'PET', 1, 9, 9, 29)"
"('FeLip9', 'PET', 1, 9, 10, 30)"
"('FeLip9', 'PET', 1, 9, 11, 31)"
"('FeLip9', 'PET', 1, 9, 12, 52)"
"('FeLip9', 'PET', 1, 9, 13, 72)"
"('FeLip9', 'PET', 1, 9, 14, 86)"
"('FeLip9', 'PET', 1, 9, 15, 91)"
"('FeLip9', 'PET', 1, 9, 16, 93)"
"('FeLip9', 'PET', 1, 9, 17, 99)"
"('FeLip9', 'PET', 1, 9, 18, 100)"
"('FeLip9', 'PET', 1, 10, 0, 0)"
"('FeLip9', 'PET', 1, 10, 1, 1)"
"('FeLip9', 'PET', 1, 10, 2, 2)"
"('FeLip9', 'PET', 1, 10, 3, 3)"
"('FeLip9', 'PET', 1, 10, 4, 5)"
"('FeLip9', 'PET', 1, 10, 5, 7)"
"('FeLip9', 'PET', 1, 10, 6, 8)"
"('FeLip9', 'PET', 1, 10, 7, 10)"
"('FeLip9', 'PET', 1, 10, 8, 14)"
"('FeLip9', 'PET', 1, 10, 9, 15)"
"('FeLip9', 'PET', 1, 10, 10, 18)"
"('FeLip9', 'PET', 1, 10, 11, 20)"
"('FeLip9', 'PET', 1, 10, 12, 26)"
"('FeLip9', 'PET', 1, 10, 13, 29)"
"('FeLip9', 'PET', 1, 10, 14, 45)"
"('FeLip9', 'PET', 1, 10, 15, 46)"
"('FeLip9', 'PET', 1, 10, 16, 47)"
"('FeLip9', 'PET', 1, 10, 17, 53)"
"('FeLip9', 'PET', 1, 10, 18, 55)"
"('FeLip9', 'PET', 1, 10, 19, 75)"
"('FeLip9', 'PET', 1, 10, 20, 77)"
"('FeLip9', 'PET', 1, 10, 21, 79)"
"('FeLip9', 'PET', 1, 10, 22, 89)"
"('FeLip9', 'PET', 1, 10, 23, 94)"
"('FeLip9', 'PET', 1, 11, 0, 0)"
"('FeLip9', 'PET', 1, 11, 1, 2)"
"('FeLip9', 'PET', 1, 11, 2, 5)"
"('FeLip9', 'PET', 1, 11, 3, 6)"
"('FeLip9', 'PET', 1, 11, 4, 14)"
"('FeLip9', 'PET', 1, 11, 5, 47)"
"('FeLip9', 'PET', 1, 11, 6, 48)"
"('FeLip9', 'PET', 1, 11, 7, 60)"
"('FeLip9', 'PET', 1, 11, 8, 62)"
"('FeLip9', 'PET', 1, 11, 9, 87)"
"('FeLip9', 'PET', 1, 12, 0, 0)"
"('FeLip9', 'PET', 1, 12, 1, 2)"
"('FeLip9', 'PET', 1, 12, 2, 4)"
"('FeLip9', 'PET', 1, 12, 3, 8)"
"('FeLip9', 'PET', 1, 12, 4, 10)"
"('FeLip9', 'PET', 1, 12, 5, 13)"
"('FeLip9', 'PET', 1, 12, 6, 14)"
"('FeLip9', 'PET', 1, 12, 7, 15)"
"('FeLip9', 'PET', 1, 12, 8, 17)"
"('FeLip9', 'PET', 1, 12, 9, 18)"
"('FeLip9', 'PET', 1, 12, 10, 20)"
"('FeLip9', 'PET', 1, 12, 11, 21)"
"('FeLip9', 'PET', 1, 12, 12, 22)"
"('FeLip9', 'PET', 1, 12, 13, 23)"
"('FeLip9', 'PET', 1, 12, 14, 24)"
"('FeLip9', 'PET', 1, 12, 15, 25)"
"('FeLip9', 'PET', 1, 12, 16, 26)"
"('FeLip9', 'PET', 1, 12, 17, 27)"
"('FeLip9', 'PET', 1, 12, 18, 28)"
"('FeLip9', 'PET', 1, 12, 19, 29)"
"('FeLip9', 'PET', 1, 12, 20, 30)"
"('FeLip9', 'PET', 1, 12, 21, 31)"
"('FeLip9', 'PET', 1, 12, 22, 32)"
"('FeLip9', 'PET', 1, 12, 23, 33)"
"('FeLip9', 'PET', 1, 12, 24, 34)"
"('FeLip9', 'PET', 1, 12, 25, 35)"
"('FeLip9', 'PET', 1, 12, 26, 36)"
"('FeLip9', 'PET', 1, 12, 27, 49)"
"('FeLip9', 'PET', 1, 12, 28, 54)"
"('FeLip9', 'PET', 1, 12, 29, 55)"
"('FeLip9', 'PET', 1, 12, 30, 56)"
"('FeLip9', 'PET', 1, 12, 31, 58)"
"('FeLip9', 'PET', 1, 12, 32, 64)"
"('FeLip9', 'PET', 1, 12, 33, 68)"
"('FeLip9', 'PET', 1, 12, 34, 76)"
"('FeLip9', 'PET', 1, 12, 35, 78)"
"('FeLip9', 'PET', 1, 12, 36, 84)"
"('FeLip9', 'PET', 1, 12, 37, 86)"
"('FeLip9', 'PET', 1, 13, 0, 0)"
"('FeLip9', 'PET', 1, 13, 1, 1)"
"('FeLip9', 'PET', 1, 13, 2, 2)"
"('FeLip9', 'PET', 1, 13, 3, 3)"
"('FeLip9', 'PET', 1, 13, 4, 15)"
"('FeLip9', 'PET', 1, 13, 5, 26)"
"('FeLip9', 'PET', 1, 13, 6, 27)"
"('FeLip9', 'PET', 1, 13, 7, 57)"
"('FeLip9', 'PET', 1, 13, 8, 60)"
"('FeLip9', 'PET', 1, 13, 9, 86)"
"('FeLip9', 'PET', 1, 13, 10, 87)"
"('FeLip9', 'PET', 1, 14, 0, 0)"
"('FeLip9', 'PET', 1, 14, 1, 2)"
"('FeLip9', 'PET', 1, 14, 2, 3)"
"('FeLip9', 'PET', 1, 14, 3, 5)"
"('FeLip9', 'PET', 1, 14, 4, 7)"
"('FeLip9', 'PET', 1, 14, 5, 11)"
"('FeLip9', 'PET', 1, 14, 6, 19)"
"('FeLip9', 'PET', 1, 14, 7, 26)"
"('FeLip9', 'PET', 1, 14, 8, 29)"
"('FeLip9', 'PET', 1, 14, 9, 31)"
"('FeLip9', 'PET', 1, 14, 10, 32)"
"('FeLip9', 'PET', 1, 14, 11, 34)"
"('FeLip9', 'PET', 1, 14, 12, 37)"
"('FeLip9', 'PET', 1, 14, 13, 44)"
"('FeLip9', 'PET', 1, 14, 14, 62)"
"('FeLip9', 'PET', 1, 14, 15, 78)"
"('FeLip9', 'PET', 1, 14, 16, 85)"
"('FeLip9', 'PET', 1, 15, 0, 0)"
"('FeLip9', 'PET', 1, 15, 1, 1)"
"('FeLip9', 'PET', 1, 15, 2, 2)"
"('FeLip9', 'PET', 1, 15, 3, 4)"
"('FeLip9', 'PET', 1, 15, 4, 15)"
"('FeLip9', 'PET', 1, 15, 5, 18)"
"('FeLip9', 'PET', 1, 15, 6, 22)"
"('FeLip9', 'PET', 1, 15, 7, 23)"
"('FeLip9', 'PET', 1, 15, 8, 25)"
"('FeLip9', 'PET', 1, 15, 9, 51)"
"('FeLip9', 'PET', 1, 15, 10, 57)"
"('FeLip9', 'PET', 1, 15, 11, 72)"
"('FeLip9', 'PET', 1, 15, 12, 74)"
"('FeLip9', 'PET', 1, 15, 13, 76)"
"('FeLip9', 'PET', 1, 15, 14, 92)"
"('FeLip9', 'PET', 1, 15, 15, 94)"
"('FeLip9', 'PET', 1, 16, 0, 0)"
"('FeLip9', 'PET', 1, 16, 1, 5)"
"('FeLip9', 'PET', 1, 16, 2, 7)"
"('FeLip9', 'PET', 1, 16, 3, 8)"
"('FeLip9', 'PET', 1, 16, 4, 9)"
"('FeLip9', 'PET', 1, 16, 5, 10)"
"('FeLip9', 'PET', 1, 16, 6, 11)"
"('FeLip9', 'PET', 1, 16, 7, 13)"
"('FeLip9', 'PET', 1, 16, 8, 15)"
"('FeLip9', 'PET', 1, 16, 9, 19)"
"('FeLip9', 'PET', 1, 16, 10, 22)"
"('FeLip9', 'PET', 1, 16, 11, 23)"
"('FeLip9', 'PET', 1, 16, 12, 24)"
"('FeLip9', 'PET', 1, 16, 13, 26)"
"('FeLip9', 'PET', 1, 16, 14, 28)"
"('FeLip9', 'PET', 1, 16, 15, 30)"
"('FeLip9', 'PET', 1, 16, 16, 31)"
"('FeLip9', 'PET', 1, 16, 17, 33)"
"('FeLip9', 'PET', 1, 16, 18, 36)"
"('FeLip9', 'PET', 1, 16, 19, 37)"
