,Total Energy,Binding Energy,Ligand SASA
"('FeLip9', 'PET', 1, 8, 1, 1)",-7150.19,-24.259,0.59124
"('FeLip9', 'PET', 1, 8, 2, 3)",-7157.82,-32.3776,0.554406
"('FeLip9', 'PET', 1, 8, 3, 17)",-7160.81,-30.2759,0.570895
"('FeLip9', 'PET', 1, 8, 4, 22)",-7157.03,-26.1364,0.648523
"('FeLip9', 'PET', 1, 8, 5, 33)",-7157.01,-30.7121,0.664947
"('FeLip9', 'PET', 1, 8, 6, 35)",-7156.4,-28.6517,0.619536
"('FeLip9', 'PET', 1, 8, 7, 49)",-7155.87,-28.1325,0.655644
"('FeLip9', 'PET', 1, 8, 8, 51)",-7161.87,-34.8236,0.645754
"('FeLip9', 'PET', 1, 8, 9, 66)",-7164.24,-38.0594,0.587829
"('FeLip9', 'PET', 1, 8, 10, 67)",-7169.49,-43.2024,0.54261
"('FeLip9', 'PET', 1, 8, 11, 88)",-7166.39,-45.58,0.549561
"('FeLip9', 'PET', 1, 8, 12, 91)",-7160.88,-35.2117,0.658354
"('FeLip9', 'PET', 1, 9, 0, 0)",-7134.95,-42.2273,0.536088
"('FeLip9', 'PET', 1, 9, 1, 1)",-7137.47,-20.2994,0.7136
"('FeLip9', 'PET', 1, 9, 2, 2)",-7134.02,-3.71234,0.820789
"('FeLip9', 'PET', 1, 9, 3, 3)",-7138.93,-6.62244,0.781233
"('FeLip9', 'PET', 1, 9, 4, 6)",-7154.11,-20.2112,0.610904
"('FeLip9', 'PET', 1, 9, 5, 11)",-7156.82,-18.5891,0.634047
"('FeLip9', 'PET', 1, 9, 6, 19)",-7159.22,-22.5841,0.6623
"('FeLip9', 'PET', 1, 9, 7, 24)",-7152.48,-18.1343,0.752007
"('FeLip9', 'PET', 1, 9, 8, 26)",-7149.41,-12.8208,0.85387
"('FeLip9', 'PET', 1, 9, 9, 29)",-7147.29,-13.101,0.781739
"('FeLip9', 'PET', 1, 9, 10, 30)",-7146.78,-12.9013,0.822746
"('FeLip9', 'PET', 1, 9, 11, 31)",-7163.03,-23.2246,0.57767
"('FeLip9', 'PET', 1, 9, 12, 52)",-7163.11,-25.509,0.593563
"('FeLip9', 'PET', 1, 9, 13, 72)",-7163.02,-20.4403,0.549154
"('FeLip9', 'PET', 1, 9, 14, 86)",-7163.27,-20.8215,0.562117
"('FeLip9', 'PET', 1, 9, 15, 91)",-7163.19,-25.1784,0.552782
"('FeLip9', 'PET', 1, 9, 16, 93)",-7165.51,-24.634,0.552864
"('FeLip9', 'PET', 1, 9, 17, 99)",-7168.05,-27.4949,0.532636
"('FeLip9', 'PET', 1, 9, 18, 100)",-7162.98,-21.6461,0.56615
"('FeLip9', 'PET', 1, 10, 0, 0)",-7118.35,-41.9979,0.536087
"('FeLip9', 'PET', 1, 10, 1, 1)",-7117.77,-10.8147,0.698637
"('FeLip9', 'PET', 1, 10, 2, 2)",-7134.1,-20.9836,0.648837
"('FeLip9', 'PET', 1, 10, 3, 3)",-7135.87,-25.2138,0.741388
"('FeLip9', 'PET', 1, 10, 4, 5)",-7139.74,-26.8668,0.727954
