,Total Energy,Binding Energy,Ligand SASA
"('FeLip9', 'PET', 2, 41, 13, 69)",-7171.59,-34.9396,0.536516
"('FeLip9', 'PET', 2, 41, 14, 74)",-7171.19,-34.7256,0.542107
"('FeLip9', 'PET', 2, 41, 15, 87)",-7163.72,-28.5963,0.575683
"('FeLip9', 'PET', 2, 41, 16, 90)",-7162.0,-28.3003,0.544214
"('FeLip9', 'PET', 2, 41, 17, 91)",-7162.97,-33.9398,0.502831
"('FeLip9', 'PET', 2, 41, 18, 92)",-7160.07,-24.161,0.55895
"('FeLip9', 'PET', 2, 41, 19, 98)",-7156.44,-23.2555,0.528499
"('FeLip9', 'PET', 2, 41, 20, 99)",-7158.36,-22.2212,0.574538
"('FeLip9', 'PET', 2, 42, 0, 0)",-7138.57,-28.0104,0.633458
"('FeLip9', 'PET', 2, 42, 1, 1)",-7145.81,-10.8406,0.828649
"('FeLip9', 'PET', 2, 42, 2, 2)",-7145.27,-6.74698,0.858578
"('FeLip9', 'PET', 2, 42, 3, 3)",-7154.66,-16.3094,0.768495
"('FeLip9', 'PET', 2, 42, 4, 7)",-7152.92,-21.9756,0.702707
"('FeLip9', 'PET', 2, 42, 5, 9)",-7151.12,-20.6989,0.754518
"('FeLip9', 'PET', 2, 42, 6, 11)",-7151.32,-20.3918,0.787165
"('FeLip9', 'PET', 2, 42, 7, 18)",-7157.76,-24.9015,0.766393
"('FeLip9', 'PET', 2, 42, 8, 19)",-7162.23,-26.9214,0.717308
"('FeLip9', 'PET', 2, 42, 9, 25)",-7148.31,-9.36653,0.860903
"('FeLip9', 'PET', 2, 42, 10, 26)",-7155.24,-11.3139,0.829649
"('FeLip9', 'PET', 2, 42, 11, 27)",-7153.77,-5.84204,0.835378
"('FeLip9', 'PET', 2, 42, 12, 28)",-7156.73,-7.64227,0.823914
"('FeLip9', 'PET', 2, 42, 13, 29)",-7159.11,-8.42372,0.79156
"('FeLip9', 'PET', 2, 42, 14, 32)",-7160.0,-12.1714,0.763819
"('FeLip9', 'PET', 2, 42, 15, 33)",-7166.96,-16.4848,0.724791
"('FeLip9', 'PET', 2, 42, 16, 38)",-7163.64,-14.2262,0.668303
"('FeLip9', 'PET', 2, 42, 17, 40)",-7160.24,-9.62208,0.778688
"('FeLip9', 'PET', 2, 42, 18, 42)",-7159.41,-9.25248,0.748124
"('FeLip9', 'PET', 2, 42, 19, 43)",-7159.22,-8.82342,0.761229
"('FeLip9', 'PET', 2, 42, 20, 44)",-7165.1,-12.9707,0.724852
"('FeLip9', 'PET', 2, 42, 21, 46)",-7164.71,-14.1664,0.734032
"('FeLip9', 'PET', 2, 42, 22, 47)",-7163.03,-15.2347,0.69493
"('FeLip9', 'PET', 2, 42, 23, 48)",-7166.88,-19.2344,0.677813
"('FeLip9', 'PET', 2, 42, 24, 53)",-7166.25,-20.2651,0.682386
"('FeLip9', 'PET', 2, 42, 25, 70)",-7166.11,-22.9511,0.708228
"('FeLip9', 'PET', 2, 42, 26, 72)",-7165.73,-19.6522,0.720605
"('FeLip9', 'PET', 2, 42, 27, 74)",-7164.2,-19.4825,0.722708
"('FeLip9', 'PET', 2, 42, 28, 75)",-7159.49,-17.0814,0.733534
"('FeLip9', 'PET', 2, 42, 29, 80)",-7160.82,-16.2186,0.762749
"('FeLip9', 'PET', 2, 42, 30, 83)",-7164.64,-21.1241,0.833463
"('FeLip9', 'PET', 2, 42, 31, 84)",-7165.04,-20.0064,0.715156
"('FeLip9', 'PET', 2, 42, 32, 90)",-7168.92,-26.5501,0.688748
"('FeLip9', 'PET', 2, 43, 0, 0)",-7148.43,-24.2829,0.639593
"('FeLip9', 'PET', 2, 43, 1, 2)",-7156.57,-18.0979,0.778919
"('FeLip9', 'PET', 2, 43, 2, 5)",-7164.68,-21.9948,0.738234
"('FeLip9', 'PET', 2, 43, 3, 7)",-7165.79,-27.8881,0.721214
"('FeLip9', 'PET', 2, 43, 4, 9)",-7170.25,-32.8765,0.662172
"('FeLip9', 'PET', 2, 43, 5, 36)",-7168.48,-28.2201,0.66333
"('FeLip9', 'PET', 2, 43, 6, 40)",-7155.84,-13.7636,0.770405
"('FeLip9', 'PET', 2, 43, 7, 41)",-7159.84,-15.3225,0.762692
"('FeLip9', 'PET', 2, 43, 8, 42)",-7160.09,-10.4256,0.788254
"('FeLip9', 'PET', 2, 43, 9, 43)",-7169.57,-21.3175,0.728517
"('FeLip9', 'PET', 2, 43, 10, 45)",-7167.49,-16.3575,0.699374
"('FeLip9', 'PET', 2, 43, 11, 46)",-7169.27,-19.11,0.68914
"('FeLip9', 'PET', 2, 43, 12, 47)",-7171.15,-20.6409,0.716285
"('FeLip9', 'PET', 2, 43, 13, 55)",-7171.09,-21.8674,0.699485
"('FeLip9', 'PET', 2, 43, 14, 56)",-7170.38,-20.1418,0.706797
"('FeLip9', 'PET', 2, 43, 15, 58)",-7166.98,-15.6786,0.702534
"('FeLip9', 'PET', 2, 43, 16, 59)",-7170.5,-18.6785,0.720191
"('FeLip9', 'PET', 2, 43, 17, 60)",-7170.21,-19.1469,0.727488
"('FeLip9', 'PET', 2, 43, 18, 62)",-7172.25,-21.6524,0.71424
"('FeLip9', 'PET', 2, 43, 19, 63)",-7169.66,-19.2433,0.718629
"('FeLip9', 'PET', 2, 43, 20, 66)",-7169.89,-18.951,0.692345
"('FeLip9', 'PET', 2, 43, 21, 69)",-7167.59,-20.8831,0.674364
"('FeLip9', 'PET', 2, 43, 22, 70)",-7165.92,-21.0564,0.726784
"('FeLip9', 'PET', 2, 43, 23, 72)",-7164.57,-20.0504,0.75122
"('FeLip9', 'PET', 2, 43, 24, 75)",-7169.79,-26.1276,0.706231
"('FeLip9', 'PET', 2, 43, 25, 85)",-7165.4,-22.0772,0.716258
"('FeLip9', 'PET', 2, 43, 26, 86)",-7164.38,-20.5174,0.697797
"('FeLip9', 'PET', 2, 43, 27, 89)",-7167.31,-19.8755,0.727862
"('FeLip9', 'PET', 2, 43, 28, 98)",-7170.1,-22.4198,0.707606
"('FeLip9', 'PET', 2, 44, 0, 0)",-7152.32,-41.4155,0.609617
"('FeLip9', 'PET', 2, 44, 1, 2)",-7158.11,-19.1496,0.58801
"('FeLip9', 'PET', 2, 44, 2, 3)",-7157.04,-13.476,0.595231
"('FeLip9', 'PET', 2, 44, 3, 7)",-7160.53,-12.3588,0.640279
"('FeLip9', 'PET', 2, 44, 4, 8)",-7156.33,-9.28882,0.707679
"('FeLip9', 'PET', 2, 44, 5, 12)",-7159.86,-17.9502,0.677617
"('FeLip9', 'PET', 2, 44, 6, 13)",-7164.57,-13.7393,0.689135
"('FeLip9', 'PET', 2, 44, 7, 17)",-7164.06,-14.7839,0.690704
"('FeLip9', 'PET', 2, 44, 8, 18)",-7162.32,-15.7466,0.697607
"('FeLip9', 'PET', 2, 44, 9, 21)",-7156.61,-9.26574,0.69733
"('FeLip9', 'PET', 2, 44, 10, 22)",-7155.3,-6.15661,0.684467
"('FeLip9', 'PET', 2, 44, 11, 24)",-7157.97,-11.3937,0.679529
"('FeLip9', 'PET', 2, 44, 12, 25)",-7156.44,-6.07349,0.684314
"('FeLip9', 'PET', 2, 44, 13, 26)",-7167.53,-15.8444,0.635072
"('FeLip9', 'PET', 2, 44, 14, 27)",-7170.1,-18.7063,0.59158
"('FeLip9', 'PET', 2, 44, 15, 36)",-7171.03,-23.9222,0.55702
"('FeLip9', 'PET', 2, 44, 16, 42)",-7169.04,-20.8637,0.563192
"('FeLip9', 'PET', 2, 44, 17, 43)",-7167.84,-16.2665,0.54662
"('FeLip9', 'PET', 2, 44, 18, 44)",-7170.18,-19.2204,0.532345
"('FeLip9', 'PET', 2, 44, 19, 48)",-7171.19,-20.2431,0.54443
"('FeLip9', 'PET', 2, 44, 20, 49)",-7169.78,-20.1933,0.547708
"('FeLip9', 'PET', 2, 44, 21, 54)",-7169.24,-18.5122,0.563186
"('FeLip9', 'PET', 2, 44, 22, 58)",-7172.36,-20.5484,0.557874
"('FeLip9', 'PET', 2, 44, 23, 68)",-7173.79,-22.1384,0.536717
"('FeLip9', 'PET', 2, 44, 24, 69)",-7176.25,-24.1667,0.535207
"('FeLip9', 'PET', 2, 44, 25, 84)",-7174.61,-24.009,0.543687
"('FeLip9', 'PET', 2, 44, 26, 85)",-7171.39,-19.6829,0.541398
"('FeLip9', 'PET', 2, 44, 27, 86)",-7170.23,-21.1542,0.5395
"('FeLip9', 'PET', 2, 44, 28, 87)",-7170.92,-20.2011,0.547499
"('FeLip9', 'PET', 2, 44, 29, 89)",-7167.93,-16.7454,0.559798
"('FeLip9', 'PET', 2, 44, 30, 90)",-7166.72,-14.5669,0.547287
"('FeLip9', 'PET', 2, 44, 31, 94)",-7170.45,-17.9527,0.526924
"('FeLip9', 'PET', 2, 44, 32, 98)",-7168.44,-15.4292,0.536913
"('FeLip9', 'PET', 2, 45, 0, 0)",-7156.96,-46.0866,0.486959
"('FeLip9', 'PET', 2, 45, 1, 1)",-7168.61,-30.2613,0.593761
"('FeLip9', 'PET', 2, 45, 2, 7)",-7170.53,-26.8816,0.59501
"('FeLip9', 'PET', 2, 45, 3, 10)",-7178.08,-35.378,0.553766
"('FeLip9', 'PET', 2, 45, 4, 36)",-7174.45,-32.2495,0.599013
"('FeLip9', 'PET', 2, 45, 5, 38)",-7171.11,-30.019,0.575222
"('FeLip9', 'PET', 2, 45, 6, 40)",-7172.35,-26.3897,0.610271
"('FeLip9', 'PET', 2, 45, 7, 48)",-7171.47,-22.5233,0.62826
"('FeLip9', 'PET', 2, 45, 8, 49)",-7172.69,-23.6898,0.57939
"('FeLip9', 'PET', 2, 45, 9, 51)",-7181.9,-32.734,0.540078
"('FeLip9', 'PET', 2, 45, 10, 63)",-7181.69,-32.4122,0.535242
"('FeLip9', 'PET', 2, 45, 11, 65)",-7184.84,-40.9064,0.510259
"('FeLip9', 'PET', 2, 46, 0, 0)",-7139.74,-32.1982,0.648575
"('FeLip9', 'PET', 2, 46, 1, 1)",-7155.68,-24.2086,0.77063
"('FeLip9', 'PET', 2, 46, 2, 2)",-7155.84,-20.2959,0.792159
"('FeLip9', 'PET', 2, 46, 3, 3)",-7151.43,-14.0942,0.847891
"('FeLip9', 'PET', 2, 46, 4, 4)",-7161.92,-21.8713,0.813075
"('FeLip9', 'PET', 2, 46, 5, 8)",-7152.01,-15.6206,0.855419
"('FeLip9', 'PET', 2, 46, 6, 11)",-7156.14,-17.6107,0.819612
"('FeLip9', 'PET', 2, 46, 7, 12)",-7157.04,-18.83,0.846684
"('FeLip9', 'PET', 2, 46, 8, 13)",-7163.77,-26.1132,0.783001
"('FeLip9', 'PET', 2, 46, 9, 79)",-7150.64,-13.7246,0.747946
"('FeLip9', 'PET', 2, 46, 10, 80)",-7158.17,-19.2312,0.707584
"('FeLip9', 'PET', 2, 46, 11, 82)",-7156.03,-17.6208,0.737986
"('FeLip9', 'PET', 2, 46, 12, 83)",-7164.22,-23.1743,0.739798
"('FeLip9', 'PET', 2, 46, 13, 86)",-7165.67,-25.532,0.701399
"('FeLip9', 'PET', 2, 46, 14, 88)",-7151.46,-21.5782,0.821112
"('FeLip9', 'PET', 2, 46, 15, 89)",-7152.92,-15.8033,0.836633
"('FeLip9', 'PET', 2, 46, 16, 95)",-7164.63,-27.4426,0.711634
"('FeLip9', 'PET', 2, 47, 0, 0)",-7151.28,-34.4024,0.572243
"('FeLip9', 'PET', 2, 47, 1, 1)",-7161.66,-20.4619,0.661579
"('FeLip9', 'PET', 2, 47, 2, 4)",-7171.58,-31.8188,0.587061
"('FeLip9', 'PET', 2, 47, 3, 18)",-7170.99,-29.4156,0.644237
"('FeLip9', 'PET', 2, 47, 4, 21)",-7173.94,-34.4418,0.588282
"('FeLip9', 'PET', 2, 47, 5, 38)",-7174.14,-32.0852,0.619022
"('FeLip9', 'PET', 2, 47, 6, 41)",-7176.18,-36.32,0.573966
"('FeLip9', 'PET', 2, 47, 7, 49)",-7174.74,-34.3238,0.595413
"('FeLip9', 'PET', 3, 1, 0, 0)",-7156.02,-34.9653,0.611241
"('FeLip9', 'PET', 3, 1, 1, 4)",-7163.79,-15.9595,0.875488
"('FeLip9', 'PET', 3, 1, 2, 5)",-7160.57,-11.6339,0.872765
"('FeLip9', 'PET', 3, 1, 3, 6)",-7162.32,-16.638,0.776108
"('FeLip9', 'PET', 3, 1, 4, 9)",-7171.48,-23.2696,0.719065
"('FeLip9', 'PET', 3, 1, 5, 11)",-7166.5,-19.0814,0.747387
"('FeLip9', 'PET', 3, 1, 6, 15)",-7167.85,-23.4886,0.727011
"('FeLip9', 'PET', 3, 1, 7, 22)",-7171.81,-23.884,0.68727
"('FeLip9', 'PET', 3, 1, 8, 49)",-7170.51,-22.9513,0.727904
"('FeLip9', 'PET', 3, 1, 9, 55)",-7170.53,-23.777,0.680828
"('FeLip9', 'PET', 3, 1, 10, 59)",-7171.21,-27.7868,0.657619
"('FeLip9', 'PET', 3, 1, 11, 60)",-7173.46,-22.8978,0.674589
"('FeLip9', 'PET', 3, 1, 12, 64)",-7180.0,-32.1018,0.622778
"('FeLip9', 'PET', 3, 1, 13, 68)",-7178.22,-28.6033,0.642999
"('FeLip9', 'PET', 3, 1, 14, 80)",-7173.27,-23.1599,0.670626
"('FeLip9', 'PET', 3, 1, 15, 82)",-7174.4,-21.5085,0.700813
"('FeLip9', 'PET', 3, 1, 16, 85)",-7174.31,-24.3342,0.662941
"('FeLip9', 'PET', 3, 2, 0, 0)",-7150.23,-31.1552,0.611605
"('FeLip9', 'PET', 3, 2, 1, 1)",-7154.5,-19.5662,0.73219
"('FeLip9', 'PET', 3, 2, 2, 4)",-7158.35,-20.1142,0.783305
"('FeLip9', 'PET', 3, 2, 3, 7)",-7161.46,-23.5295,0.754942
"('FeLip9', 'PET', 3, 2, 4, 15)",-7163.01,-24.6854,0.719697
"('FeLip9', 'PET', 3, 2, 5, 16)",-7164.03,-30.8764,0.680616
"('FeLip9', 'PET', 3, 2, 6, 28)",-7164.34,-22.034,0.777257
"('FeLip9', 'PET', 3, 2, 7, 30)",-7168.71,-24.6768,0.751874
"('FeLip9', 'PET', 3, 2, 8, 31)",-7169.63,-23.7016,0.742552
"('FeLip9', 'PET', 3, 2, 9, 36)",-7164.21,-16.6519,0.728032
"('FeLip9', 'PET', 3, 2, 10, 38)",-7170.87,-23.8669,0.670583
"('FeLip9', 'PET', 3, 2, 11, 39)",-7169.77,-20.5854,0.688736
"('FeLip9', 'PET', 3, 2, 12, 41)",-7178.14,-31.4648,0.61054
"('FeLip9', 'PET', 3, 2, 13, 42)",-7176.3,-28.3879,0.57663
"('FeLip9', 'PET', 3, 2, 14, 43)",-7178.36,-34.0656,0.529585
"('FeLip9', 'PET', 3, 2, 15, 53)",-7182.64,-38.8027,0.55403
"('FeLip9', 'PET', 3, 2, 16, 65)",-7181.05,-37.4542,0.556256
"('FeLip9', 'PET', 3, 2, 17, 68)",-7173.18,-32.5155,0.555608
"('FeLip9', 'PET', 3, 2, 18, 69)",-7171.61,-26.1794,0.621492
"('FeLip9', 'PET', 3, 2, 19, 76)",-7179.64,-34.937,0.615791
"('FeLip9', 'PET', 3, 2, 20, 80)",-7177.61,-29.7388,0.60393
"('FeLip9', 'PET', 3, 2, 21, 83)",-7177.45,-28.1022,0.576275
"('FeLip9', 'PET', 3, 2, 22, 85)",-7179.6,-32.4928,0.570757
"('FeLip9', 'PET', 3, 3, 0, 0)",-7158.5,-41.8291,0.607489
"('FeLip9', 'PET', 3, 3, 1, 2)",-7185.36,-40.5184,0.609325
"('FeLip9', 'PET', 3, 3, 2, 23)",-7176.36,-32.4834,0.653562
"('FeLip9', 'PET', 3, 3, 3, 27)",-7181.61,-36.9106,0.631444
"('FeLip9', 'PET', 3, 3, 4, 49)",-7166.45,-21.5774,0.704726
"('FeLip9', 'PET', 3, 3, 5, 53)",-7168.97,-27.6883,0.65716
"('FeLip9', 'PET', 3, 3, 6, 54)",-7170.91,-26.7438,0.645666
"('FeLip9', 'PET', 3, 3, 7, 56)",-7175.49,-26.9824,0.647283
"('FeLip9', 'PET', 3, 3, 8, 62)",-7175.76,-29.4564,0.6052
"('FeLip9', 'PET', 3, 3, 9, 93)",-7174.09,-25.7337,0.682835
"('FeLip9', 'PET', 3, 3, 10, 99)",-7173.84,-25.6282,0.684401
"('FeLip9', 'PET', 3, 3, 11, 100)",-7174.63,-24.367,0.674122
"('FeLip9', 'PET', 3, 4, 0, 0)",-7154.3,-41.2701,0.549168
"('FeLip9', 'PET', 3, 4, 1, 1)",-7173.35,-36.7968,0.564037
"('FeLip9', 'PET', 3, 4, 2, 39)",-7175.71,-37.0415,0.562753
"('FeLip9', 'PET', 3, 4, 3, 44)",-7170.69,-29.3748,0.577412
"('FeLip9', 'PET', 3, 4, 4, 47)",-7174.07,-32.3486,0.568456
"('FeLip9', 'PET', 3, 4, 5, 92)",-7168.12,-23.8701,0.582848
"('FeLip9', 'PET', 3, 5, 0, 0)",-7146.54,-13.1914,0.724827
"('FeLip9', 'PET', 3, 5, 1, 1)",-7147.31,-7.27452,0.923294
"('FeLip9', 'PET', 3, 5, 2, 3)",-7149.9,-7.09968,0.931463
"('FeLip9', 'PET', 3, 5, 3, 4)",-7152.49,-5.2967,0.951437
"('FeLip9', 'PET', 3, 5, 4, 5)",-7159.39,-12.3918,0.862025
"('FeLip9', 'PET', 3, 5, 5, 8)",-7167.09,-19.859,0.786256
"('FeLip9', 'PET', 3, 5, 6, 15)",-7164.13,-15.4078,0.813353
"('FeLip9', 'PET', 3, 5, 7, 19)",-7160.92,-13.2242,0.738885
"('FeLip9', 'PET', 3, 5, 8, 20)",-7166.32,-13.29,0.755932
"('FeLip9', 'PET', 3, 5, 9, 21)",-7168.53,-16.4967,0.734514
"('FeLip9', 'PET', 3, 5, 10, 22)",-7162.28,-15.6368,0.863839
"('FeLip9', 'PET', 3, 5, 11, 23)",-7170.54,-18.8714,0.723385
"('FeLip9', 'PET', 3, 5, 12, 25)",-7173.2,-20.3035,0.711539
"('FeLip9', 'PET', 3, 5, 13, 32)",-7169.49,-19.3804,0.716351
"('FeLip9', 'PET', 3, 5, 14, 33)",-7159.37,-13.742,0.90543
"('FeLip9', 'PET', 3, 5, 15, 35)",-7164.2,-18.1241,0.873084
"('FeLip9', 'PET', 3, 5, 16, 41)",-7166.51,-23.0415,0.8404
"('FeLip9', 'PET', 3, 5, 17, 42)",-7164.02,-19.4225,0.822129
"('FeLip9', 'PET', 3, 5, 18, 44)",-7168.52,-20.6728,0.89269
"('FeLip9', 'PET', 3, 5, 19, 51)",-7170.52,-15.747,0.891997
"('FeLip9', 'PET', 3, 5, 20, 53)",-7172.7,-17.2979,0.872244
"('FeLip9', 'PET', 3, 5, 21, 57)",-7173.04,-16.4297,0.923984
"('FeLip9', 'PET', 3, 5, 22, 73)",-7172.01,-16.3024,0.919579
"('FeLip9', 'PET', 3, 5, 23, 84)",-7176.3,-19.0966,0.841935
"('FeLip9', 'PET', 3, 5, 24, 85)",-7173.83,-16.682,0.836303
"('FeLip9', 'PET', 3, 5, 25, 91)",-7175.13,-19.9588,0.82386
"('FeLip9', 'PET', 3, 5, 26, 92)",-7175.57,-14.2452,0.734808
"('FeLip9', 'PET', 3, 5, 27, 94)",-7165.76,-14.6506,0.985
"('FeLip9', 'PET', 3, 5, 28, 95)",-7164.24,-11.3238,0.964282
"('FeLip9', 'PET', 3, 5, 29, 97)",-7170.38,-18.1098,0.852732
"('FeLip9', 'PET', 3, 5, 30, 99)",-7172.19,-16.3144,0.832512
"('FeLip9', 'PET', 3, 6, 0, 0)",-7155.96,-40.6577,0.590409
"('FeLip9', 'PET', 3, 6, 1, 1)",-7161.82,-21.7809,0.597743
"('FeLip9', 'PET', 3, 6, 2, 5)",-7166.43,-21.1189,0.612251
"('FeLip9', 'PET', 3, 6, 3, 22)",-7165.41,-16.0849,0.624693
"('FeLip9', 'PET', 3, 6, 4, 24)",-7169.34,-19.9156,0.599262
"('FeLip9', 'PET', 3, 6, 5, 48)",-7174.07,-24.4651,0.600324
"('FeLip9', 'PET', 3, 6, 6, 49)",-7173.78,-23.3108,0.605455
"('FeLip9', 'PET', 3, 6, 7, 55)",-7174.71,-25.7592,0.595563
"('FeLip9', 'PET', 3, 6, 8, 68)",-7176.24,-28.6431,0.571698
"('FeLip9', 'PET', 3, 6, 9, 87)",-7175.91,-27.7879,0.575551
"('FeLip9', 'PET', 3, 6, 10, 90)",-7168.42,-20.596,0.589206
"('FeLip9', 'PET', 3, 6, 11, 91)",-7179.38,-30.4864,0.557716
"('FeLip9', 'PET', 3, 7, 0, 0)",-7154.45,-26.5511,0.661439
"('FeLip9', 'PET', 3, 7, 1, 2)",-7159.79,-18.4455,0.76202
"('FeLip9', 'PET', 3, 7, 2, 3)",-7164.83,-7.94463,0.778725
"('FeLip9', 'PET', 3, 7, 3, 6)",-7167.24,-7.81804,0.779804
"('FeLip9', 'PET', 3, 7, 4, 7)",-7169.18,-9.84619,0.7758
"('FeLip9', 'PET', 3, 7, 5, 8)",-7171.38,-11.9423,0.770743
"('FeLip9', 'PET', 3, 7, 6, 12)",-7172.91,-14.015,0.742589
"('FeLip9', 'PET', 3, 7, 7, 13)",-7169.99,-10.4975,0.770144
"('FeLip9', 'PET', 3, 7, 8, 17)",-7173.8,-14.9994,0.724056
"('FeLip9', 'PET', 3, 7, 9, 20)",-7172.93,-13.8886,0.753591
"('FeLip9', 'PET', 3, 7, 10, 21)",-7175.67,-13.5192,0.735982
"('FeLip9', 'PET', 3, 7, 11, 24)",-7175.33,-11.913,0.760561
"('FeLip9', 'PET', 3, 7, 12, 25)",-7177.58,-16.0278,0.72001
"('FeLip9', 'PET', 3, 7, 13, 26)",-7173.89,-12.3829,0.753593
"('FeLip9', 'PET', 3, 7, 14, 28)",-7170.91,-11.2103,0.761889
"('FeLip9', 'PET', 3, 7, 15, 30)",-7176.03,-15.1965,0.753414
"('FeLip9', 'PET', 3, 7, 16, 32)",-7175.63,-16.6993,0.732399
"('FeLip9', 'PET', 3, 7, 17, 33)",-7176.2,-14.2457,0.69682
"('FeLip9', 'PET', 3, 7, 18, 34)",-7175.07,-12.3014,0.704085
"('FeLip9', 'PET', 3, 7, 19, 36)",-7180.11,-18.502,0.655719
"('FeLip9', 'PET', 3, 7, 20, 42)",-7180.94,-19.4527,0.617511
"('FeLip9', 'PET', 3, 7, 21, 50)",-7183.74,-22.3284,0.614973
"('FeLip9', 'PET', 3, 7, 22, 51)",-7181.99,-20.8558,0.619526
"('FeLip9', 'PET', 3, 7, 23, 59)",-7175.95,-12.8125,0.664825
"('FeLip9', 'PET', 3, 7, 24, 62)",-7176.44,-15.4436,0.649528
"('FeLip9', 'PET', 3, 7, 25, 63)",-7183.31,-22.3842,0.610635
"('FeLip9', 'PET', 3, 7, 26, 74)",-7178.94,-20.8902,0.616455
"('FeLip9', 'PET', 3, 7, 27, 78)",-7182.06,-21.1487,0.612847
"('FeLip9', 'PET', 3, 7, 28, 97)",-7180.15,-18.7404,0.624611
"('FeLip9', 'PET', 3, 7, 29, 98)",-7180.31,-19.2297,0.623207
"('FeLip9', 'PET', 3, 8, 0, 0)",-7140.13,-39.929,0.61251
"('FeLip9', 'PET', 3, 8, 1, 1)",-7146.24,-27.5004,0.675713
"('FeLip9', 'PET', 3, 8, 2, 3)",-7151.67,-30.9798,0.676106
"('FeLip9', 'PET', 3, 8, 3, 4)",-7159.19,-34.1545,0.677165
"('FeLip9', 'PET', 3, 8, 4, 5)",-7158.72,-34.1322,0.659923
"('FeLip9', 'PET', 3, 8, 5, 26)",-7156.7,-33.6766,0.632583
"('FeLip9', 'PET', 3, 8, 6, 49)",-7157.53,-32.7827,0.665789
"('FeLip9', 'PET', 3, 8, 7, 54)",-7159.61,-36.4052,0.639434
"('FeLip9', 'PET', 3, 8, 8, 61)",-7161.83,-37.098,0.633484
"('FeLip9', 'PET', 3, 8, 9, 71)",-7146.81,-23.7207,0.675148
"('FeLip9', 'PET', 3, 8, 10, 74)",-7136.75,-16.9685,0.773116
"('FeLip9', 'PET', 3, 8, 11, 75)",-7135.49,-21.9831,0.68619
"('FeLip9', 'PET', 3, 8, 12, 77)",-7138.42,-21.0714,0.764231
"('FeLip9', 'PET', 3, 8, 13, 80)",-7149.84,-27.7696,0.71282
"('FeLip9', 'PET', 3, 8, 14, 83)",-7140.21,-16.2806,0.785442
"('FeLip9', 'PET', 3, 8, 15, 85)",-7146.03,-20.9766,0.625127
"('FeLip9', 'PET', 3, 8, 16, 88)",-7152.78,-19.5169,0.583476
"('FeLip9', 'PET', 3, 8, 17, 89)",-7153.87,-19.0101,0.580942
"('FeLip9', 'PET', 3, 8, 18, 92)",-7161.23,-25.6299,0.547975
"('FeLip9', 'PET', 3, 8, 19, 96)",-7159.44,-27.3074,0.575039
"('FeLip9', 'PET', 3, 8, 20, 97)",-7158.27,-28.4735,0.591506
"('FeLip9', 'PET', 3, 8, 21, 98)",-7153.83,-29.137,0.669093
"('FeLip9', 'PET', 3, 9, 0, 0)",-7152.07,-29.6727,0.625879
"('FeLip9', 'PET', 3, 9, 1, 1)",-7163.97,-10.1992,0.776671
"('FeLip9', 'PET', 3, 9, 2, 2)",-7173.27,-18.9572,0.64482
"('FeLip9', 'PET', 3, 9, 3, 3)",-7175.75,-19.5098,0.663545
"('FeLip9', 'PET', 3, 9, 4, 7)",-7177.4,-23.4227,0.669333
"('FeLip9', 'PET', 3, 9, 5, 8)",-7176.42,-26.9538,0.725079
"('FeLip9', 'PET', 3, 9, 6, 13)",-7180.62,-31.1635,0.609611
"('FeLip9', 'PET', 3, 9, 7, 37)",-7179.59,-28.7847,0.577732
"('FeLip9', 'PET', 3, 9, 8, 39)",-7179.92,-29.4883,0.575954
"('FeLip9', 'PET', 3, 9, 9, 40)",-7176.34,-25.095,0.61004
"('FeLip9', 'PET', 3, 9, 10, 45)",-7176.9,-24.8054,0.641136
"('FeLip9', 'PET', 3, 9, 11, 49)",-7176.93,-25.0034,0.631696
"('FeLip9', 'PET', 3, 9, 12, 52)",-7180.93,-34.1255,0.569595
"('FeLip9', 'PET', 3, 9, 13, 54)",-7182.33,-36.2456,0.551317
"('FeLip9', 'PET', 3, 9, 14, 59)",-7183.77,-43.5239,0.527562
"('FeLip9', 'PET', 3, 9, 15, 65)",-7178.24,-38.6152,0.612335
"('FeLip9', 'PET', 3, 9, 16, 68)",-7179.28,-33.3075,0.696312
"('FeLip9', 'PET', 3, 9, 17, 92)",-7181.2,-36.8381,0.66145
"('FeLip9', 'PET', 3, 10, 0, 0)",-7144.97,-15.8483,0.800937
"('FeLip9', 'PET', 3, 10, 1, 1)",-7158.41,-1.57408,0.888382
"('FeLip9', 'PET', 3, 10, 2, 2)",-7159.85,-1.4442,0.882255
"('FeLip9', 'PET', 3, 10, 3, 3)",-7158.66,-2.9669,0.855235
"('FeLip9', 'PET', 3, 10, 4, 4)",-7161.14,-2.52296,0.858923
"('FeLip9', 'PET', 3, 10, 5, 6)",-7164.19,-6.94883,0.82704
"('FeLip9', 'PET', 3, 10, 6, 9)",-7164.98,-12.7981,0.726594
"('FeLip9', 'PET', 3, 10, 7, 11)",-7170.65,-13.5286,0.749442
"('FeLip9', 'PET', 3, 10, 8, 12)",-7171.28,-14.4206,0.727836
"('FeLip9', 'PET', 3, 10, 9, 19)",-7176.23,-19.7772,0.701923
"('FeLip9', 'PET', 3, 10, 10, 20)",-7177.75,-21.7332,0.688275
"('FeLip9', 'PET', 3, 10, 11, 29)",-7176.83,-20.4972,0.699331
"('FeLip9', 'PET', 3, 10, 12, 33)",-7181.63,-24.3277,0.653384
"('FeLip9', 'PET', 3, 10, 13, 36)",-7181.78,-27.7809,0.615147
